ID,Speaker,Description,SpawnItem,SpawnItem2
Offer,소년,"다음주에 학교에서 졸업 사진을 찍어야 하는데, ",,
Offer,소년,난 항상 학교에서 눈에 띈 적이 없거든… ,,
Offer,소년,그래서 이번에는 정말 멋있는 것을 머리에 쓰고 사진을 찍고 싶어.,,
Offer,소년,뭐든 좋아. 이 평범한 것을 가장 눈에 띄는 모자로 만들어줘.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
Success,소년,너무 멋있어요! 셔터가 터질때 공룡 처럼 소리를 내며 인상도 멋지게 찡그릴거에요!,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
Fail,소년,"아쉽지만, 집에 가서 다시 생각해보니 이 투구도 충분히 멋진 것 같아요! 용기 내보도록 할게요!",,
Offer,기사,"집에 있는 물건을 정리 하고 있는데, 이 총은 망가졌지만 버리고 싶지 않아.",,
Offer,기사,조금이라도 쓸모가 있는 무기로 고쳐줬으면 좋겠어.,,
Offer,기사,참고로 총알은 안들어가는데 무엇이라도 '쏠 수 있는' 것이라면 좋을 것 같아.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
Success,기사,석궁이라니! 놀라운 창의력이군. 만약 이 무기를 사용 할 일이 있으면 당신을 지키는데 사용하도록 노력 해보지.,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
Fail,기사,한번 망가진 무기는 원래 고치기 힘들다지. 고생하셨소.,,
Offer,엘프,"저기, 다음주에 음악회가 있는데 나는 재능이 없어서 노래도 못하고",,
Offer,엘프,악기 연주도 하지 못해요. 이 상자에 마법을 부려 줄래요?,,
Offer,엘프,음악회에 낄 수만 있게 해줘요.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
Success,엘프,오르골 상자라니 너무 감동이에요! 덕분에 멋진 음악을 함께 연주 할 수 있겠어요… 내일 열리는 음악회에 오실래요?,,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
Fail,엘프,나를 정말 아끼는 동족들이라면 내가 함께 하는 것만으로도 즐거워 하길 바래봐야겠어요…,,
Offer,오크,나도 여자라서 꾸미는걸 좋아하는데 이 못생긴 검은 누굴 닮았는지,,
,오크,어떻게 해도 꾸밀 수가 없어요. 도와주세요.,,
,오크,하나 참고 할것이 있다면 싱싱한건 안먹힐거에요.,,
Success,주인공,의뢰해주신 물건을 제련 해보았어요. 맘에 드시나요?,,
,오크,"상한 딸기를 합성하실 생각을 하시다니! 너무 멋져요… 그리고 이 검은 너무 예뻐요! 고마워요, 정말로!",,
Fail,주인공,의뢰해주신 물건을 제련 하지 못했어요. 죄송합니다.,,
